# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_cousins_model
# start_datetime = 2023-05-12 13:28:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = model_cousins_input.json
# random
#   seed = 391094460 (Default)
# output
#   file = model_cousins_output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0-98-ga490a092
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,burial_h,burial_a,age_h,age_a,age_m_h,age_m_a,age_m2_h,birth_date_grandmother,age_m2_a
# Adaptation terminated
# Step size = 0.358958
# Diagonal elements of inverse mass matrix:
# 36.5644, 35.1106, 0.0229314, 0.0255476, 0.481555, 0.359001, 0.48312
2.65081,0.832165,0.358958,2,7,1,-0.737774,-524.502,-503.241,28.5371,32.4651,19.1981,17.8153,29.1513,-601.388,47.8667
4.98673,0.918255,0.358958,3,7,0,0.610312,-528.008,-501.604,30.9694,36.7783,16.9171,18.9431,25.0948,-600.99,43.6639
6.49481,1,0.358958,3,7,0,-3.50888,-530.875,-498.711,34.5127,41.6708,17.3476,19.9736,21.0775,-603.813,43.4573
5.64583,0.9922,0.358958,3,7,0,-4.61088,-531.968,-501.358,34.4312,36.9644,16.7553,19.0483,18.8756,-602.03,44.6588
3.95804,0.963278,0.358958,3,7,0,-0.619123,-523.865,-485.647,34.9842,39.7538,16.753,18.0054,23.3807,-598.983,55.5766
5.90922,0.857143,0.358958,2,7,1,-0.29238,-528.575,-496.832,36.1675,37.9077,17.9751,18.7842,25.2409,-607.959,54.4351
5.07906,0.89154,0.358958,3,13,1,-0.971179,-518.419,-490.719,37.724,53.0879,20.4108,23.9851,21.0393,-597.594,29.8018
8.51418,1,0.358958,3,7,0,-3.77027,-524.236,-494.704,38.746,36.2916,16.7437,26.772,23.1031,-602.829,45.0615
7.71936,0.985842,0.358958,3,7,0,-6.75787,-524.449,-489.532,34.3111,37.6941,17.0298,26.1809,22.4754,-598.265,44.858
3.81032,0.938922,0.358958,3,7,0,-2.01543,-531.481,-499.972,26.5328,46.958,22.709,23.9821,16.6106,-597.333,26.4213
2.44908,0.465794,0.358958,4,15,0,-0.595678,-514.011,-493.144,53.2996,26.8134,15.3764,57.1651,19.6767,-602.364,25.2409
4.33926,0.989971,0.358958,3,15,0,0.612556,-530.076,-496.619,25.5754,48.3141,18.3538,25.0998,21.8429,-595.848,25.8152
3.13594,0.599086,0.358958,3,11,1,0.562225,-532.827,-495.338,24.848,46.699,20.8681,22.2666,23.3863,-601.93,37.6261
4.05882,0.770811,0.358958,2,6,1,4.04012,-526.409,-487.115,27.552,36.3758,18.5879,28.8502,29.8429,-602.392,50.0508
8.16023,1,0.358958,3,7,0,-3.01277,-525.84,-498.699,33.5808,30.8317,21.5394,50.5775,18.0331,-598.993,18.8848
8.84296,0.634559,0.358958,3,7,0,-3.22416,-522.037,-489.355,39.5911,31.1629,18.1249,49.5683,21.7374,-601.491,31.4047
8.55322,1,0.358958,4,15,0,-7.45113,-518.601,-491.202,39.1209,31.297,18.463,38.583,23.5063,-599.692,38.6094
8.81088,0.992489,0.358958,4,15,0,-7.26882,-529.806,-500.607,39.0558,40.7786,21.5524,34.4918,16.9435,-607.358,31.4804
6.52427,0.951133,0.358958,4,15,0,-5.22142,-513.254,-493.618,36.8336,28.8642,17.672,48.2382,24.5248,-592.284,21.5634
6.95869,0.291038,0.358958,2,3,0,-4.87363,-513.873,-493.246,38.9883,29.3307,18.7421,41.0554,26.3275,-597.93,34.2979
5.41945,0.990393,0.358958,4,15,0,-3.39162,-534.53,-507.218,43.0457,44.1342,17.3725,32.8673,16.9873,-611.935,27.716
5.20475,0.970789,0.358958,4,15,0,0.242402,-509.463,-487.006,34.9479,30.2924,19.0509,40.9481,22.2159,-585.677,27.4311
8.56706,0.998753,0.358958,3,7,0,-3.57068,-522.205,-487.209,44.2237,38.0659,17.5156,48.0841,20.8825,-604.826,31.4672
6.44768,0.921684,0.358958,3,7,0,-4.43048,-527.113,-486.539,44.6243,45.8064,17.0813,33.649,17.1745,-605.993,39.9984
5.94226,0.443965,0.358958,2,3,0,-3.65998,-527.327,-488.338,39.0077,46.3749,17.6257,50.1446,17.2077,-601.169,16.3111
6.32029,0.407772,0.358958,4,15,0,-1.14331,-532.271,-497.302,32.454,32.9879,16.292,25.2071,20.8438,-601.861,46.3643
7.87178,1,0.358958,4,15,0,-4.29381,-516.947,-493.216,47.6016,33.0352,23.968,44.2861,19.1775,-607.694,37.1561
7.30292,0.946752,0.358958,4,15,0,-3.95391,-532.977,-496.321,31.7997,41.0495,16.7571,30.3257,18.8322,-600.366,32.6693
7.91635,0.701327,0.358958,2,7,0,-3.83374,-523.297,-496.127,36.211,36.8163,29.8591,34.1655,18.5719,-607.939,40.8305
6.96631,0.931016,0.358958,4,15,0,-5.35197,-523.571,-487.464,36.9655,41.232,15.5205,46.2897,21.5484,-597.605,22.6194
6.96631,0.442319,0.358958,2,4,1,0.913504,-523.571,-487.464,36.9655,41.232,15.5205,46.2897,21.5484,-597.605,22.6194
7.86703,0.67096,0.358958,4,15,0,-5.98936,-528.065,-489.978,40.0562,34.3484,15.8626,37.3567,20.4623,-604.446,42.7635
7.80978,0.5,0.358958,1,2,1,-2.28064,-529.061,-494.359,35.7653,34.8013,15.4862,45.3855,21.0346,-601.347,26.8011
7.80978,0,0.358958,0,1,1,-5.02993,-529.061,-494.359,35.7653,34.8013,15.4862,45.3855,21.0346,-601.347,26.8011
8.93146,0.993383,0.358958,4,15,0,-5.83759,-518.369,-498.863,43.2618,30.9741,22.1192,39.9381,18.4627,-602.212,32.4371
7.71596,0.909853,0.358958,3,7,0,-4.6123,-517.239,-501.174,47.0118,32.6705,23.9864,35.4306,19.9868,-608.224,38.9492
7.94086,0.5,0.358958,1,2,1,-3.4993,-519.87,-505.024,46.3045,33.5562,22.5056,43.6384,18.34,-607.02,24.8015
