# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_full_sibs_model
# start_datetime = 2023-03-21 21:31:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = params.json
# init = 2 (Default)
# random
#   seed = 222271579 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0-98-ga490a092
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,birth_date_a,age_a,birth_date_h,age_h,birth_date_m,birth_age_mother_h,birth_age_mother_a
# Adaptation terminated
# Step size = 0.165237
# Diagonal elements of inverse mass matrix:
# 236.62, 0.0786845, 242.427, 0.055143, 242.786
0.377201,0.988173,0.165237,5,31,0,2.61231,-521.65,11.7632,-520.271,35.8708,-555.851,35.5802,34.2013
0.786598,0.976907,0.165237,4,15,0,0.927185,-513.946,16.1586,-525.393,36.7157,-554.834,29.4413,40.8883
0.769704,0.969272,0.165237,5,31,0,1.70696,-577.234,29.0789,-570.645,51.4649,-600.307,29.6624,23.0727
1.33127,0.821024,0.165237,4,23,0,4.11409,-545.162,13.6306,-540.069,46.738,-569.577,29.5074,24.4149
3.00798,1,0.165237,4,31,0,-0.830802,-538.044,18.0335,-549.886,52.1938,-573.446,23.5603,35.4026
2.20496,0.875433,0.165237,2,7,0,-0.759927,-541.108,17.5178,-540.9,52.1243,-578.276,37.3767,37.1687
4.25638,0.99185,0.165237,4,23,0,-1.33938,-560.467,20.0661,-559.308,44.2772,-590.579,31.2705,30.1115
4.49774,0.993007,0.165237,5,31,0,-3.83893,-539.347,20.1262,-542.209,50.3446,-573.194,30.985,33.8468
4.53007,0.988258,0.165237,4,15,0,-4.05077,-542.574,20.7147,-547.766,38.857,-575.732,27.9658,33.1584
4.16137,0.952253,0.165237,4,15,0,-0.606224,-546.843,17.1462,-552.168,48.858,-582.08,29.9118,35.2372
4.64515,0.918397,0.165237,3,15,0,-2.57945,-545.468,22.9614,-547.402,46.1987,-580.628,33.2255,35.1599
4.17698,0.649276,0.165237,3,15,0,0.218855,-559.287,23.2972,-560.718,48.1028,-594.95,34.2327,35.6635
4.23108,0.997415,0.165237,3,15,0,-3.51258,-562.325,21.3004,-564.206,47.0718,-592.523,28.3173,30.1983
4.51777,0.954051,0.165237,4,27,0,-2.0421,-544.51,25.4669,-543.381,41.0649,-574.978,31.5966,30.4676
4.23962,0.926584,0.165237,4,23,0,-3.07728,-530.026,21.7093,-531.275,40.9479,-562.581,31.3061,32.5551
4.49181,0.986972,0.165237,4,31,0,-3.31034,-537.611,24.7643,-540.841,48.0812,-569.725,28.8841,32.1146
4.00909,0.882704,0.165237,4,23,0,-1.42355,-559.948,22.3299,-565.144,48.8927,-597.332,32.1882,37.384
4.13698,0.954399,0.165237,2,7,0,-3.06755,-560.797,20.7369,-565.92,47.9772,-596.982,31.0619,36.1845
3.75446,0.988238,0.165237,4,23,0,-0.820404,-553.508,20.3061,-559.105,58.1045,-585.937,26.8325,32.4293
2.96238,0.972989,0.165237,3,7,0,-2.29776,-548.363,22.4188,-560.316,58.1616,-587.781,27.4651,39.4182
