# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_grandparents_model
# start_datetime = 2023-04-03 18:50:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = model_grandparents_input.json
# init = 2 (Default)
# random
#   seed = 1335803763 (Default)
# output
#   file = model_grandparents_output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0-98-ga490a092
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,birth_date_hochdorf,age_hochdorf,daughter_age_hochdorf,mother_age_asperg,age_asperg,burial_date_hochdorf,burial_date_asperg
# Adaptation terminated
# Step size = 0.425841
# Diagonal elements of inverse mass matrix:
# 47.6574, 0.0114635, 0.700899, 0.0355465, 0.0425655
7.62421,0.814164,0.425841,4,15,0,-3.30472,-594.203,52.8964,32.4525,32.9055,25.9987,-541.307,-502.846
11.2859,1,0.425841,3,15,0,-7.07308,-576.008,44.7617,26.7659,29.9653,25.7003,-531.246,-493.576
7.95973,0.872274,0.425841,3,7,0,-6.94844,-587.892,51.5386,47.4999,22.8101,36.7703,-536.353,-480.811
4.79069,0.980206,0.425841,3,7,0,-2.59294,-591.704,54.7429,53.8145,25.483,18.9814,-536.961,-493.425
4.6169,0.98219,0.425841,2,3,0,-3.4054,-592.227,56.0823,54.891,28.674,17.5702,-536.144,-491.091
3.23168,0.64129,0.425841,2,3,0,-0.84497,-594.519,50.5272,49.3609,27.4988,18.0626,-543.992,-499.597
9.98055,1,0.425841,4,15,0,-3.10517,-576.386,42.3419,23.9426,24.98,36.9082,-534.044,-490.555
11.4261,0.748396,0.425841,3,7,0,-8.05184,-576.97,42.5635,27.7132,28.8132,29.2558,-534.406,-491.187
11.0856,0.921068,0.425841,3,15,0,-9.80153,-577.059,49.1758,33.5072,33.1357,30.4195,-527.883,-479.996
9.65881,0.943646,0.425841,2,7,0,-9.15206,-584.343,43.7716,36.3921,25.5643,26.9387,-540.571,-495.448
9.44695,0.947674,0.425841,2,7,0,-4.39556,-575.742,54.4192,31.9906,34.9318,25.7702,-521.322,-483.049
11.2001,0.994699,0.425841,3,7,0,-8.0634,-581.088,45.646,39.0511,26.0343,31.2987,-535.442,-484.704
11.8151,0.969106,0.425841,2,7,0,-9.65355,-579.087,45.1765,31.2405,30.9789,25.8864,-533.91,-490.981
10.6648,0.985869,0.425841,3,7,0,-10.3332,-576.838,41.6607,35.0557,29.2131,30.5426,-535.177,-482.027
10.556,0.833479,0.425841,3,11,0,-8.69945,-570.834,43.074,31.8575,23.411,24.0542,-527.76,-491.512
10.1481,0.843465,0.425841,3,7,0,-6.22049,-582.266,47.6737,26.1331,37.9654,34.7304,-534.593,-483.438
11.1821,0.926292,0.425841,3,7,0,-7.4903,-581.788,55.7296,34.5579,27.4573,29.2098,-526.059,-490.563
11.5064,0.983092,0.425841,2,7,0,-9.69892,-583.751,51.01,29.5394,35.8744,31.9121,-532.741,-486.425
11.296,0.467136,0.425841,3,7,0,-8.62207,-580.847,53.9254,29.7675,33.0954,31.5995,-526.922,-486.385
11.6951,0.997817,0.425841,3,15,0,-10.5597,-586.362,53.9683,37.1924,32.4139,26.5045,-532.394,-490.251
11.4366,0.860607,0.425841,3,7,0,-7.96543,-584.844,55.0892,37.9147,25.7097,31.8469,-529.755,-489.373
11.374,0.978581,0.425841,3,7,0,-10.5641,-582.144,48.2485,28.9967,34.5509,33.9978,-533.896,-484.599
2.72178,0.454302,0.425841,2,3,0,-2.23941,-585.169,42.855,13.9584,32.3709,47.271,-542.314,-491.568
9.85312,1,0.425841,3,7,0,-1.20029,-580.153,56.8386,40.1068,24.6342,30.0148,-523.314,-485.397
11.5305,1,0.425841,2,3,0,-9.88746,-586.174,51.527,35.8478,26.3548,29.538,-534.647,-494.433
10.4998,0.969724,0.425841,2,3,0,-10.3836,-588.768,55.2962,43.1357,27.5048,34.4481,-533.472,-483.68
11.8686,0.85436,0.425841,3,7,0,-8.83526,-587.12,54.3364,36.0151,31.3103,31.5921,-532.784,-488.203
11.6007,0.745155,0.425841,3,7,0,-10.161,-582.394,51.6611,28.2725,28.5815,32.2756,-530.732,-493.264
11.3062,0.958274,0.425841,3,7,0,-9.37579,-583.306,45.5191,32.5814,26.445,33.0226,-537.787,-491.257
11.7385,1,0.425841,3,15,0,-11.0922,-577.082,47.5912,37.7894,27.1084,28.4739,-529.491,-483.711
9.97762,0.963102,0.425841,3,7,0,-8.66467,-593.264,54.1083,41.0466,26.6007,37.0376,-539.155,-488.579
11.8342,0.988853,0.425841,3,7,0,-9.5891,-577.679,50.7521,30.1523,27.693,29.0117,-526.926,-490.822
10.8965,0.811903,0.425841,3,7,0,-9.96653,-581.401,47.2793,41.6404,30.1474,27.5586,-534.121,-482.054
9.16178,0.985089,0.425841,3,7,0,-8.34785,-567.076,38.4696,31.2752,22.463,23.2437,-528.606,-490.094
8.65571,0.881818,0.425841,3,7,0,-6.50692,-570.735,44.1139,39.661,21.017,20.3789,-526.621,-489.678
8.98894,0.979826,0.425841,3,15,0,-6.26107,-567.853,38.1497,21.6089,28.6232,34.7698,-529.703,-482.851
7.58897,0.866124,0.425841,4,15,0,-2.02766,-576.76,39.3461,37.5595,18.8639,31.118,-537.413,-489.218
8.52371,0.978708,0.425841,3,7,0,-6.39399,-575.512,43.7497,41.7028,24.1878,31.5473,-531.762,-478.074
8.10114,0.938865,0.425841,3,15,0,-6.39298,-588.747,45.3026,43.5953,29.2881,25.8468,-543.444,-490.017
9.0748,0.883913,0.425841,4,15,0,-4.14139,-592.322,51.3897,38.9432,32.4608,23.3231,-540.932,-497.595
8.41839,0.749784,0.425841,3,7,0,-4.40488,-582.342,56.5676,20.8427,33.9701,37.3422,-525.774,-490.187
10.3465,1,0.425841,3,7,0,-7.36745,-576.127,40.8368,35.5185,25.8464,24.8595,-535.29,-489.902
10.7108,0.670401,0.425841,3,7,0,-6.78707,-579.78,46.1263,39.437,33.3639,23.8286,-533.653,-483.15
10.2239,0.993876,0.425841,3,7,0,-9.54911,-581.016,50.1967,39.4786,26.469,20.4601,-530.82,-494.609
10.1421,0.912025,0.425841,3,15,0,-7.37494,-570.949,49.9536,24.5633,29.5221,28.0625,-520.996,-488.801
9.16465,0.900957,0.425841,2,3,0,-8.14072,-568.17,47.8897,20.6994,28.8401,27.5476,-520.281,-491.083
9.62844,1,0.425841,3,7,0,-8.55753,-591.895,48.3746,40.7818,27.4381,32.696,-543.52,-490.979
9.13293,0.985473,0.425841,3,15,0,-7.22211,-565.958,45.1785,26.5339,22.5908,25.2215,-520.78,-491.612
6.87202,0.55154,0.425841,4,15,0,-1.02084,-564.891,43.6538,23.7653,35.4105,16.5201,-521.237,-489.195
7.59181,0.803653,0.425841,3,7,0,-2.46353,-566.344,37.5909,26.8761,21.7913,21.7139,-528.753,-495.963
10.1119,0.970611,0.425841,4,15,0,-6.18103,-584.591,45.6379,41.1889,23.7516,30.2179,-538.953,-489.432
10.3039,0.95926,0.425841,3,7,0,-7.15883,-573,49.9446,27.5759,31.9479,22.9147,-523.055,-490.561
10.9809,0.893365,0.425841,3,7,0,-9.24785,-582.43,45.9886,34.446,33.2441,23.0181,-536.442,-491.722
